season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2023,Kinkead,Dent,QB,Ole Miss,,2023-01-18T20:32:00.000Z,,3,Immediate
2023,Dorian,Jones,LB,Louisville,Cincinnati,2022-12-12T19:49:00.000Z,0.86,3,Immediate
2023,Bhayshul,Tuten,RB,North Carolina A&T,Virginia Tech,2022-12-15T00:11:00.000Z,0.89,3,Immediate
2023,Zavier,Leonard,OT,San Diego State,,2022-12-07T06:00:00.000Z,,3,Immediate
2023,Noah,Robinson,WR,Old Dominion,,2022-12-05T21:00:00.000Z,,3,Immediate
2023,Tito,Chikere,EDGE,Fresno State,,2022-08-23T21:18:00.000Z,,3,Immediate
2023,Joe,Andreessen,LB,Bryant,Buffalo,2022-12-01T17:02:00.000Z,0.85,3,Immediate
2023,Kaleb,Smith,WR,Virginia Tech,Notre Dame,2022-12-05T16:03:00.000Z,0.91,4,Immediate
2023,Greg,Hudgins,EDGE,Purdue,Charlotte,2023-02-01T23:21:00.000Z,,3,Immediate
2023,Jake,Walrath,P,Tarleton State,Central Michigan,2023-02-01T22:43:00.000Z,,,Immediate
2023,Austin,Sullivan,LS,Minnesota,,2023-01-03T16:00:00.000Z,,,Immediate
2023,Alex,Raynor,K,Georgia Southern,Memphis,2023-01-07T18:28:00.000Z,,,Immediate
2023,Matt,Smith,TE,Duke,,2022-12-31T21:30:00.000Z,,3,Immediate
2023,Bam,Amina,LB,Colorado State,UNLV,2022-08-15T14:19:00.000Z,,3,Immediate
2023,Armani,Chatman,CB,Virginia Tech,North Carolina,2022-12-05T21:02:00.000Z,0.89,3,Immediate
2023,Owen,Snively,IOL,Colorado State,Eastern Michigan,2022-12-05T20:22:00.000Z,,3,Immediate
2023,Jake,Blair,QB,Oregon State,,2022-08-28T16:28:00.000Z,,,Immediate
2023,Dontae,Fleming,WR,Louisiana,Tulane,2022-12-08T16:00:00.000Z,,3,Immediate
2023,Zach,Person,TE,Toledo,,2022-12-05T18:00:00.000Z,,3,Immediate
2023,Aaron,Smith,RB,Oregon,,2022-12-05T21:01:00.000Z,,2,Immediate
2023,Davonte,Brown,CB,UCF,Miami,2022-12-05T18:23:00.000Z,0.91,4,Immediate
2023,Grady,Manley,DL,San José State,,2022-12-06T06:00:00.000Z,,2,Immediate
2023,Ralpheal,Marshall,CB,Louisiana Tech,,2022-12-05T18:00:00.000Z,,3,Immediate
2023,Jaquan,Allen,ATH,Villanova,,2023-01-18T06:00:00.000Z,,3,Immediate
2023,Andres,Fox,EDGE,Fresno State,,2022-12-20T21:44:00.000Z,,4,Immediate
2023,Josaiah,Stewart,EDGE,Coastal Carolina,Michigan,2022-12-06T19:55:00.000Z,0.91,4,Immediate
2023,Lavel,Dumont,OT,Toledo,Rice,2022-12-05T14:20:00.000Z,,3,Immediate
2023,Josh,Volk,IOL,Iowa,Northern Iowa,2022-12-05T14:19:00.000Z,,3,Immediate
2023,Arland,Bruce IV,WR,Iowa,Oklahoma State,2022-12-05T14:18:00.000Z,0.9,4,Immediate
2023,JP,Murphy,TE,San Diego State,Eastern Washington,2022-12-07T06:00:00.000Z,,3,Immediate
2023,Jack,Murphy,OT,Marshall,Appalachian State,2022-12-23T20:39:00.000Z,,,Immediate
2023,Gottlieb,Ayedze,OT,Frostburg State,Maryland,2022-12-06T04:55:00.000Z,0.9,4,Immediate
2023,Ronald,Gaines III,LS,Temple,Florida A&M,2023-01-20T14:38:00.000Z,,,Immediate
2023,Tyrin,Woodby,CB,West Virginia,,2022-12-08T20:55:00.000Z,,3,Immediate
2023,Moliki,Matavao,TE,Oregon,UCLA,2022-12-12T19:04:00.000Z,0.89,3,Immediate
2023,MarShawn,Lloyd,RB,South Carolina,USC,2022-12-12T18:38:00.000Z,0.92,4,Immediate
2023,Kenney,Solomon,CB,Tulsa,Tulsa,2022-11-30T22:24:00.000Z,,3,Immediate
2023,Davis,Brin,QB,Tulsa,Georgia Southern,2022-11-28T16:46:00.000Z,,3,Immediate
2023,Drake,Nugent,IOL,Stanford,Michigan,2022-12-02T20:13:00.000Z,0.89,3,Immediate
2023,Justin,Prince,S,UTEP,,2022-11-16T23:54:00.000Z,,2,Immediate
2023,Drake,Martinez,WR,Colorado State,,2022-12-05T16:03:00.000Z,,3,Immediate
2023,Walter,Rouse,OT,Stanford,Oklahoma,2022-12-16T14:42:00.000Z,0.91,4,Immediate
2023,Keleki,Latu,TE,California,Nevada,2022-12-09T21:04:00.000Z,,3,Immediate
2023,Jordan,White,IOL,West Virginia,,2022-12-09T21:03:00.000Z,,3,Immediate
2023,Devon,Lawrence,RB,North Carolina,,2022-09-07T14:17:00.000Z,,3,Immediate
2023,Willie,Lampkin,IOL,Coastal Carolina,North Carolina,2022-12-08T17:28:00.000Z,0.88,3,Immediate
2023,Jaquez,Yant,RB,Nebraska,Florida A&M,2022-12-08T16:45:00.000Z,,3,Immediate
2023,Joshua,Atkins,OT,Houston,Hawai'i,2022-12-05T18:22:00.000Z,,3,Immediate
2023,Francisco,Castro,LS,Arkansas,,2022-12-05T16:35:00.000Z,,,Immediate
2023,Dom,Foster,ATH,Syracuse,,2022-12-05T16:32:00.000Z,,3,Immediate
2023,Decoldest,Crawford,WR,Nebraska,Louisiana Tech,2022-12-01T22:30:00.000Z,0.87,3,Immediate
2023,Rico,Arnold,WR,UMass,,2022-12-01T22:16:00.000Z,,2,Immediate
2023,JT,Daniels,QB,West Virginia,Rice,2022-12-08T22:49:00.000Z,,5,Immediate
2023,Darrell,Jackson,DL,Miami,Florida State,2022-12-08T01:32:00.000Z,0.9,4,Immediate
2023,Kannon,Katzer,RB,Washington State,,2022-10-20T16:31:00.000Z,,2,Immediate
2023,Jalen,Daniels,QB,South Carolina,,2022-12-29T14:02:00.000Z,,,Immediate
2023,Krew,Jackson,LB,Kansas State,Arizona State,2022-12-06T20:01:00.000Z,0.86,3,Immediate
2023,Samuel,Benjamin,DL,Idaho State,Arizona State,2022-12-01T22:55:00.000Z,0.85,3,Immediate
2023,Tristan,Gebbia,QB,Oregon State,Ohio State,2023-01-04T00:00:00.000Z,0.85,3,Immediate
2023,Sean,Dollars,RB,Oregon,Nevada,2022-12-06T14:20:00.000Z,0.88,3,Immediate
2023,Cameron,Peters,QB,UT San Antonio,,2023-01-14T00:48:00.000Z,,3,Immediate
2023,Damarius,McGhee,CB,LSU,Kansas,2022-12-06T22:15:00.000Z,0.88,3,Immediate
2023,Cedric,Roberts,DL,Oklahoma,,2022-12-06T22:14:00.000Z,,3,Immediate
2023,Jay,Butterfield,QB,Oregon,San José State,2022-12-05T15:52:00.000Z,,4,Immediate
2023,Carter,Brown,K,Arizona State,Cincinnati,2023-01-06T18:30:00.000Z,,3,Immediate
2023,Terry,Roberts,CB,Iowa,Miami,2022-12-06T20:34:00.000Z,0.88,3,Immediate
2023,Salim,Turner-Muhammad,CB,Stanford,Purdue,2022-12-01T14:46:00.000Z,0.87,3,Immediate
2023,Omarion,Dollison,WR,South Florida,,2022-12-02T18:00:00.000Z,,3,Immediate
2023,Nicholas,Days,LB,Western Kentucky,,2022-08-18T13:34:00.000Z,,3,Immediate
2023,Avery,Jones,IOL,East Carolina,Auburn,2022-12-02T17:37:00.000Z,0.92,4,Immediate
2023,Josh,Carlson,P,New Mexico State,Arizona State,2022-12-02T17:16:00.000Z,,,Immediate
2023,Tyrell,Grayson,ATH,Utah Tech,Colorado State,2023-02-01T21:43:00.000Z,,,Immediate
2023,Emeka,Obigbo,IOL,Incarnate Word,Texas State,2023-01-11T01:55:00.000Z,,,Immediate
2023,Jalani,Williams,S,Missouri,,2022-12-01T14:46:00.000Z,,4,Immediate
2023,Sterling,Berkhalter,WR,North Carolina A&T,Cincinnati,2022-12-22T21:36:00.000Z,0.86,3,Immediate
2023,Jack,Henderson,S,Southeastern Louisiana,Minnesota,2022-12-06T17:02:00.000Z,0.89,3,Immediate
2023,Imari,Jones,CB,Texas Tech,,2022-12-08T19:26:00.000Z,,3,Immediate
2023,Myles,Jones,CB,Texas A&M,Duke,2022-12-05T16:30:00.000Z,0.88,3,Immediate
2023,Andre,Sam,S,Marshall,Tulane,2023-01-20T18:34:00.000Z,,,Immediate
2023,Rashad,Amos,RB,South Carolina,Miami (OH),2023-01-01T21:54:00.000Z,,3,Immediate
2023,Jalen,Frazier,CB,NC State,UNLV,2022-12-31T19:37:00.000Z,,3,Immediate
2023,Jalen,Grant,IOL,Bowling Green,Purdue,2023-01-02T21:00:00.000Z,0.86,3,Immediate
2023,Akeem,Smith,DL,Georgia State,Sam Houston State,2022-12-05T12:04:00.000Z,,3,Immediate
2023,Jakai,Clark,IOL,Miami,SMU,2023-01-18T01:26:00.000Z,0.89,3,Immediate
2023,Jonathan,Streeter,CB,Appalachian State,Campbell,2022-12-05T11:46:00.000Z,,3,Immediate
2023,Elijah,Roberts,DL,Miami,SMU,2022-12-05T11:45:00.000Z,0.87,3,Immediate
2023,Diwun,Black,LB,Florida,Temple,2022-12-08T14:15:00.000Z,,4,Immediate
2023,John,Saunders,CB,Miami (OH),Ole Miss,2022-12-05T22:13:00.000Z,0.91,4,Immediate
2023,Keyshawn,Hunter,DL,Old Dominion,,2022-12-07T14:18:00.000Z,,3,Immediate
2023,Emery,Simmons,WR,Indiana,Utah,2023-01-09T15:39:00.000Z,0.88,3,Immediate
2023,Brey,Walker,IOL,Oklahoma,,2023-01-18T16:16:00.000Z,0.84,3,Immediate
2023,Phillip,Paea,IOL,Utah State,,2023-01-18T06:00:00.000Z,,3,Immediate
2023,Deland,McCullough II,S,Indiana,,2023-01-14T00:00:00.000Z,,3,Immediate
2023,Zakhari,Spears,CB,Washington,Connecticut,2022-12-11T07:12:00.000Z,,3,Immediate
2023,Ely,Doyle,S,Eastern Washington,,2022-12-09T18:23:00.000Z,,3,Immediate
2023,Elijah,Anderson-Taylor,LB,Northern Colorado,Florida International,2023-02-02T01:12:00.000Z,,,Immediate
2023,Marquez,Cooper,RB,Kent State,Ball State,2022-12-06T22:18:00.000Z,,3,Immediate
2023,Josh,Hough,RB,Syracuse,,2022-12-05T14:38:00.000Z,,3,Immediate
2023,Elliott,Davison,S,Incarnate Word,UT San Antonio,2022-12-19T14:56:00.000Z,,,Immediate
2023,JB,Brown,DL,Arizona,UMass,2022-10-18T18:11:00.000Z,,3,Immediate
2023,Kyndrich,Breedlove,CB,Ole Miss,Colorado,2023-01-13T14:10:00.000Z,0.87,3,Immediate
2023,Leroy,Bowers,S,Cincinnati,,2022-12-07T21:43:00.000Z,,3,Immediate
2023,Braelen,Oliver,LB,Minnesota,Georgia Tech,2022-12-18T20:37:00.000Z,0.86,3,Immediate
2023,Daniel,Heimuli,LB,Washington,Arizona,2023-01-02T20:07:00.000Z,0.86,3,Immediate
2023,Joseph,Weté,EDGE,Oklahoma,Oklahoma,2022-10-19T18:11:00.000Z,,4,Immediate
2023,Kevonte,Henry,EDGE,Oklahoma,,2022-12-07T18:02:00.000Z,,4,Immediate
2023,Ben,Scott,OT,Arizona State,Nebraska,2022-12-08T18:05:00.000Z,0.88,3,Immediate
2023,DeMeer,Blankumsee,WR,Toledo,Memphis,2023-01-14T06:00:00.000Z,,3,Immediate
2023,Isaiah,Iton,DL,Ole Miss,Rutgers,2023-01-07T01:10:00.000Z,,3,Immediate
2023,Tyler,Harrell,WR,Alabama,,2023-01-14T19:19:00.000Z,,3,Immediate
2023,Zach,Durfee,EDGE,Sioux Falls,Washington,2022-11-26T22:33:00.000Z,0.85,3,Immediate
2023,Jamier,Johnson,CB,Texas,Indiana,2022-12-05T20:23:00.000Z,0.87,3,Immediate
2023,Elijah,Hawk,DL,Western Michigan,,2022-12-12T21:18:00.000Z,,3,Immediate
2023,Julius,Welschof,DL,Michigan,Charlotte,2023-01-03T16:39:00.000Z,,3,Immediate
2023,Christian,Helms,WR,South Florida,South Florida,2022-11-09T20:18:00.000Z,,,Immediate
2023,Johnny,Martin,RB,Charlotte,Stony Brook,2022-12-05T12:36:00.000Z,,,Immediate
2023,Rod,Orr,OT,Florida State,Toledo,2022-12-07T15:21:00.000Z,,4,Immediate
2023,Davoan,Hawkins,DL,Tennessee State,West Virginia,2023-01-06T19:09:00.000Z,0.88,3,Immediate
2023,Phillip,Wilder,OT,Southeast Missouri State,Cincinnati,2022-11-28T20:01:00.000Z,,3,Immediate
2023,Mike,Harris,CB,Baylor,,2022-12-29T21:59:00.000Z,,3,Immediate
2023,Aaron,Alexander,LB,UMass,Michigan State,2022-12-12T20:32:00.000Z,0.85,3,Immediate
2023,Hunter,Zenzen,LB,Iowa State,North Dakota State,2022-12-05T20:05:00.000Z,,3,Immediate
