season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2023,Austin,Smith,TE,Colorado,Memphis,2023-04-15T22:40:00.000Z,0.83,3,Immediate
2023,Blake,Glessner,K,Montana State,UCLA,2022-12-31T14:55:00.000Z,0.8,3,Immediate
2023,Jason,Gold,DL,Northwestern,Texas State,2022-12-07T21:56:00.000Z,,3,Immediate
2023,Cam,Robertson,EDGE,North Texas,SMU,2023-04-15T17:57:00.000Z,0.87,3,Immediate
2023,Lawrence,Johnson,DL,Purdue,Auburn,2022-12-21T13:23:00.000Z,0.87,3,Immediate
2023,Rodney,McGraw,EDGE,Penn State,Louisville,2022-12-05T13:32:00.000Z,0.87,3,Immediate
2023,Dylan,Hopkins,QB,UAB,New Mexico,2023-01-12T14:29:00.000Z,,3,Immediate
2023,Armon,Bethea,IOL,Arizona State,,2022-12-27T01:29:00.000Z,,3,Immediate
2023,DeQuece,Carter,WR,Fordham,Indiana,2022-11-29T15:32:00.000Z,0.9,4,Immediate
2023,Derrick,Canteen,CB,Georgia Southern,Virginia Tech,2022-12-13T14:59:00.000Z,0.89,3,Immediate
2023,Derrick,Davis Jr.,RB,LSU,Pittsburgh,2022-12-13T14:59:00.000Z,0.9,4,Immediate
2023,Nathanial,Vakos,K,Ohio,Wisconsin,2022-12-31T00:53:00.000Z,0.79,2,Immediate
2023,Jacob,Roberts,ILB,North Carolina A&T,Wake Forest,2023-01-06T18:32:00.000Z,0.87,3,Immediate
2023,Taisun,Phommachanh,QB,Georgia Tech,UMass,2022-12-08T22:11:00.000Z,0.79,2,Immediate
2023,Steven,Krajewski,QB,Georgia State,Wagner,2022-12-05T15:03:00.000Z,,3,Immediate
2023,Al,Ashford III,CB,Wisconsin,,2023-04-27T17:16:00.000Z,,3,Immediate
2023,Damir,Abdullah,WR,Colorado State,,2023-04-27T15:40:00.000Z,,3,Immediate
2023,Jimari,Butler,EDGE,Nebraska,,2022-12-07T17:43:00.000Z,,3,Immediate
2023,Adrian,Jackson,LB,Oregon,Nevada,2022-08-03T13:52:00.000Z,,4,Immediate
2023,Bryce,Grays,S,Washington State,,2023-04-27T15:39:00.000Z,,3,Immediate
2023,Zyere,Horton,LB,Georgia Southern,,2023-04-27T14:52:00.000Z,,,Immediate
2023,Miles,Fleming,CB,Minnesota,,2023-04-27T14:42:00.000Z,,3,Immediate
2023,Trevor,Pope,WR,Oregon State,Oregon State,2023-01-12T14:37:00.000Z,,3,Immediate
2023,Peter,Warrick,CB,Florida Atlantic,,2023-04-20T15:02:00.000Z,,3,Immediate
2023,Alexander,Honig,QB,TCU,,2023-04-20T14:49:00.000Z,,3,Immediate
2023,Isaiah,Rogers,DL,Central Michigan,,2023-04-20T14:46:00.000Z,,3,Immediate
2023,Antwain,Barham,LB,Memphis,,2023-04-24T13:35:00.000Z,,3,Immediate
2023,Allan,Baugh,DL,Colorado,,2023-04-19T15:17:00.000Z,,3,Immediate
2023,Malik,Rainey,CB,Cincinnati,,2023-04-19T15:16:00.000Z,,3,Immediate
2023,Jadon,Pearson,S,Utah,,2023-04-20T14:37:00.000Z,,3,Immediate
2023,Troy,Everett,IOL,Appalachian State,,2023-04-15T15:38:00.000Z,0.87,3,Immediate
2023,Jordan,Hudson,WR,TCU,,2023-04-18T16:37:00.000Z,0.93,4,Immediate
2023,Thomas,Haney,IOL,Nevada,,2022-12-22T06:00:00.000Z,,,Immediate
2023,Thad,Franklin,RB,Miami,,2022-12-05T11:45:00.000Z,,4,Immediate
2023,Tyler,Wegis,EDGE,Utah,Boise State,2022-12-12T15:40:00.000Z,,3,Immediate
2023,Fitzroy,Gardner,LB,Louisiana Monroe,,2023-04-18T16:25:00.000Z,,3,Immediate
2023,Jaden,Davis,CB,Oklahoma,Miami,2023-04-18T16:08:00.000Z,0.9,4,Immediate
2023,Jake,Eichorn,IOL,Weber State,BYU,2023-04-11T19:38:00.000Z,,,Immediate
2023,Vito,Tisdale,S,Kentucky,Colorado,2023-04-15T18:15:00.000Z,0.88,3,Immediate
2023,Evan,Meyersick,WR,Nebraska,,2023-04-21T23:19:00.000Z,,,Immediate
2023,Myles,Alston,WR,Pittsburgh,,2023-04-18T15:47:00.000Z,,3,Immediate
2023,Jeremiah,Byers,OT,UTEP,Florida State,2022-12-05T16:09:00.000Z,0.92,4,Immediate
2023,Dallin,Holker,TE,BYU,Colorado State,2022-12-05T19:41:00.000Z,,3,Immediate
2023,Jordan,Hanna,LB,Arkansas,,2022-12-05T20:35:00.000Z,,,Immediate
2023,Chad,Alexander,RB,New Mexico,,2023-04-15T15:48:00.000Z,,2,Immediate
2023,Keon,Kindred,OT,Maryland,,2023-04-15T15:45:00.000Z,,3,Immediate
2023,Marco,Ortiz,LS,Florida,Nebraska,2022-10-26T15:32:00.000Z,,,Immediate
2023,Paul,Maile,IOL,Utah,BYU,2023-01-05T22:43:00.000Z,0.88,3,Immediate
2023,Dre,Spriggs,WR,UT San Antonio,UTEP,2023-01-13T21:14:00.000Z,,3,Immediate
2023,Tim,Coutras,S,Liberty,,2023-04-20T14:04:00.000Z,,3,Immediate
2023,David,Conner,OT,Florida,Colorado,2023-04-20T13:44:00.000Z,0.83,3,Immediate
2023,Chase,Hattley,S,NC State,,2023-04-20T13:42:00.000Z,,3,Immediate
2023,Ralph,Frias,OT,Arizona State,Utah State,2023-04-20T13:41:00.000Z,,3,Immediate
2023,Dylan,Hall,DL,Arizona State,,2023-04-20T13:40:00.000Z,,3,Immediate
2023,Kaydin,Pope,WR,Mississippi State,,2023-04-20T13:35:00.000Z,,3,Immediate
2023,Antavious,Woody,IOL,Florida State,,2023-04-21T16:15:00.000Z,,3,Immediate
2023,Jaden,Alexis,WR,Texas,,2023-04-15T15:16:00.000Z,0.86,3,Immediate
